country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3,,,,,82,,,,,79.9,,,,,,
Algeria,,,,,,,,,,,,,,,,74,,,,,,,,,,60,,,,,,,,,,,61.2,,,,,,,,,,,59.2,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2,,,,,81.4,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1,,,,,86.4,,,,,,,,,,85.9,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2,,,,94.5,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,62,,,,,64.2,,,,,,67.7,,,,,64.1,,,,,65.2,,,,,68.2,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589,,,,,,,2.12,,,,,0.414,,,,,0.276,,0.291,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,,,89,,,,,,,,,,,91.8
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,0.852,,,,,1.93,,,,,,,2.15,,,,0.762,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,61.2,,,,,58.9,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,11,,,,,13.3,,,,,12.5,,,,,10.4,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,33.5,,,,,29,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,,,,,14.2,,,,,,,8.27,,,,,15.6,,,,,12.8,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,,,,,,,,,,,
Ghana,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,52.9,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,43.3,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,,82.3,,,,82.3,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,5.75,,,,,,,,,,,,,,,,
Greece,,,,,,57,,,,,83.6,,,,,,,,,,83.7,,,,,,,98.3,,,,,87.4,,,,,90.9,,,,,87.8,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,,,,,,,,97.6,,,,,,,,,,94.3,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4,,,,91,,,,,,,,,,,,,,83.4,,,,,,,
Hungary,,,,,,22.3,,,,,22.4,,,,,,,,,,36,,,,,,,13.3,,,,7.58,,,,,,11.9,,,,,5.47,,,,,6.38,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,,,,,,,,,,81.9,,,,,,,,,,,,,,,,
India,,,,,,,,,,,93,,,,,93.9,,,,,,94.1,,,,92,,,,,,,,,,91.5,,,,,,,,,,90.4,,,,,,
Ireland,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6,,,,,,93.4,,,92.2,,,,,,,,,,,,
Iraq,,,,,,,,,,,97.5,,,,,97.5,,,,,97.5,,,,,92,,,,,84,,,,,78.8,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,3.7,,,,,3.57,,,,,,,41.9,,,,,,,,,,42.4,,42.4,,,,,,,,0.0084,,,0.108,
Israel,,,,,,79.9,,,,,76.1,,,,,72.7,,,,,,,,,,67.4,,,,,,,,,,,,55.8,,57.8,,,,,,,,,,,,
Italy,,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,55.2,,,,,,,,,
Jordan,,,,,,,,,,,65,,,,,70.5,,,,,74.5,,,,,,,74.9,,,,,,,,,,64.4,,,,,63.2,,,,,54.4,,,52.1,
Japan,,,,,,,,,,,,,,,,65.8,,,,,,,,,,,,64.1,,,,,66,,,,,66.2,,,,,65.7,,66.8,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4,,,,,,,75.1,,,,,67.7,,,66.2,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,76.4,,,,,,,,,,,,,75.4,,,,,,,59.3,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,,,,,,93.8,,,,,,93,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,,,,,,,60.1,,,,,55.2,,,54.7,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,,,,,,,,53.9,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,,,,,,,,,,,
Lebanon,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,67.7,,,,,,64.2,,,,,59.5,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,63.1,,,,,89.9,,,,87,,,,,,82.8,,,,,,,,,,,,83.2,,,,
