country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.68,,,,,13,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,,,,,7.76,,,,,,,,,,11.5,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,5.33,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,12,,,,,18.4,,,,,,13,,,,,15.2,,,,,16.6,,,,,14.2,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,,,,,,,6.03,,,,,,,,,,,,3.49,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,,,10.3,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,15.9,,,,,,,17.4,,,,6.24,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,28,,,,,29.8,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,15.3,,,,,19.4,,,,,18.4,,,,,18.1,,,,,18.1,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,57,,,,,60.9,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,51.6,,,,,62,,,,,,,,,,,,,,,,,46.3,,,,,70.4,,,,,71.4,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,,,,,
Ghana,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,37.6,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,,,,,13.1,,,,13.1,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,79.3,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,13.7,,,,,,,,,,11.9,,,,,,,,,,,,9.91,,,,,,,,,,8.79,,,,,,,,
